"","income","sex","eth","fedu","parocc"
"1",3110.48043262842,2,1,11,108
"2",3014.36953262842,2,1,9,109
"3",2753.92233262842,1,1,1,1010
"4",2816.36103262842,2,1,11,1010
"5",6072.09193262842,2,1,1,910
"6",2352.53093262842,2,1,11,1010
"7",12530.0357326284,2,1,1,1010
"8",2388.21013262842,1,1,1,1010
"9",23590.5997326284,1,3,1,109
"10",3758.88813262842,1,1,1,1010
"11",11102.8657326284,1,3,5,1010
"12",2238.03973262842,1,1,1,1010
"13",8890.75213262842,2,3,3,98
"14",3949.17693262842,2,1,9,1010
"15",18785.9747326284,1,1,1,1010
"16",3967.01653262842,2,1,8,108
"17",4488.49483262842,1,1,1,1010
"18",5523.52363262842,1,1,9,1010
"19",2004.65813262842,1,1,1,1010
"20",3342.62983262842,1,1,1,1010
"21",17792.7227326284,2,1,4,1010
"22",6428.88443262842,2,1,9,1010
"23",2557.68643262842,1,1,1,109
"24",3075.03553262842,1,1,1,1010
"25",1951.29543262842,1,1,1,1010
"26",22074.2327326284,1,1,1,210
"27",2397.12983262842,1,1,1,108
"28",2361.45063262842,2,1,1,108
"29",2629.04513262842,2,1,7,1010
"30",6785.67693262842,2,1,10,87
"31",1050.23843262842,1,1,1,910
"32",9782.73353262842,2,1,1,910
"33",2183.05433262842,2,1,1,1010
"34",7228.56313262842,2,1,4,108
"35",1630.02613262842,1,1,1,1010
"36",1380.27153262842,2,1,1,99
"37",952.12053262842,1,1,6,109
"38",12378.3987326284,1,4,11,108
"39",8426.92203262842,1,1,8,108
"40",3931.33733262842,2,1,1,1010
"41",4835.48303262842,1,3,1,99
"42",3506.89713262842,2,1,1,1010
"43",1235.76973262842,1,1,8,1010
"44",12984.9457326284,1,1,1,1010
"45",3699.42233262842,1,1,1,107
"46",633.09660262842,1,1,1,1010
"47",5412.02603262842,1,1,1,107
"48",4145.41273262842,1,1,8,1010
"49",5850.50453262842,1,1,1,98
"50",28823.7087326284,1,1,1,910
"51",7053.27113262842,1,1,12,210
"52",2896.63933262842,1,1,1,1010
"53",13154.4217326284,1,1,1,1010
"54",3494.26673262842,2,1,1,1010
"55",4099.62953262842,2,1,1,109
"56",2261.54973262842,1,1,1,1010
"57",4858.99773262842,1,1,9,105
"58",1942.21953262842,1,1,1,1010
"59",5447.44113262842,1,1,5,98
"60",1603.26673262842,1,3,1,99
